"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"SOT23-5";1;"SPX3819M5-3.3";;;
2;"C1";"0603_CAP";1;"10uF";;;
3;"C2";"0603_CAP";1;"100nF";;;
4;"C3";"0603_CAP";1;"22uF";;;
5;"C201,C204";"1210_CAP";2;"10uF 16V";;;
6;"C202";"0603_CAP";1;"100nF 16V";;;
7;"C203";"1210_CAP";1;"100uF 16V X5R";;;
8;"D1,D2,D3,D201";"DIODE_SMA";4;"SS14";;;
9;"F1";"1210";1;"1A PTC";;;
10;"L1";"IND_SRU1038";1;"2.2uH";;;
11;"P1";"Pin_Header_Straight_1x02";1;"BATTERY";;;
12;"P2";"Pin_Header_Straight_1x02";1;"CHRG";;;
13;"P3";"USB-MICRO-5pin_PTHMOUNT";1;"USB_5PIN_SHELL";;;
14;"P4";"Pin_Header_Straight_1x02";1;"EN_5V";;;
15;"P5";"Pin_Header_Straight_1x02";1;"EN_3.3V";;;
16;"P6";"Pin_Header_Straight_1x06";1;"CONN_01X06";;;
17;"Q201,Q202,Q203";"SOT23_FET";3;"FDN340P";;;
18;"R1";"Resistor_Horizontal_RM10mm";1;"1M";;;
19;"R2";"0603";1;"95.3K";;;
20;"R3";"0603";1;"30.9K";;;
21;"R4,R5";"0603";2;"100K";;;
22;"R201,R202";"0603";2;"1K";;;
23;"R204,R205";"0603";2;"7.15K 1%";;;
24;"SW1";"SS12D00";1;"ON/OFF";;;
25;"TH201";"0603";1;"10K NTC";;;
26;"U201";"CN3063_SOIC8_EP";1;"CN3063";;;
27;"U202";"SO08_4mm";1;"MCP6002";;;
28;"LED201";"0805";1;"LED_GREEN";;;
29;"LED202";"0805";1;"LED_RED";;;
30;"U2";"SOT23-6";1;"LTC3426";;;
